0.00, 23.50
1.00, 23.50
2.00, 23.50
3.00, 23.50
4.00, 23.50
5.00, 23.50
6.00, 23.50
7.00, 23.50
8.00, 23.52
9.00, 23.52
10.00, 23.52
11.00, 23.52
12.00, 23.52
13.00, 23.52
14.00, 23.52
15.00, 23.52
16.00, 23.52
17.00, 23.52
18.00, 23.52
19.00, 23.50
20.00, 23.52
21.00, 23.50
22.00, 23.52
23.00, 23.52
24.00, 23.50
25.00, 23.50
26.00, 23.50
27.00, 23.50
28.00, 23.50
29.00, 23.50
30.00, 23.50
31.00, 23.47
32.00, 23.47
33.00, 23.47
34.00, 23.47
35.00, 23.45
36.00, 23.45
37.00, 23.45
38.00, 23.45
39.00, 23.45
40.00, 23.45
41.00, 23.45
42.00, 23.45
43.00, 23.43
44.00, 23.43
45.00, 23.43
46.00, 23.43
47.00, 23.43
48.00, 23.41
49.00, 23.43
50.00, 23.41
51.00, 23.41
52.00, 23.41
53.00, 23.41
54.00, 23.41
55.00, 23.41
56.00, 23.41
57.00, 23.38
58.00, 23.38
59.00, 23.38
60.00, 23.38
61.00, 23.38
62.00, 23.38
63.00, 23.38
64.00, 23.36
65.00, 23.36
66.00, 23.36
67.00, 23.36
68.00, 23.36
69.00, 23.34
70.00, 23.34
71.00, 23.34
72.00, 23.34
73.00, 23.36
74.00, 23.34
75.00, 23.36
76.00, 23.34
77.00, 23.36
78.00, 23.36
79.00, 23.36
80.00, 23.36
81.00, 23.36
82.00, 23.36
83.00, 23.34
84.00, 23.36
85.00, 23.36
86.00, 23.36
87.00, 23.36
88.00, 23.36
89.00, 23.34
90.00, 23.36
91.00, 23.34
92.00, 23.34
93.00, 23.34
94.00, 23.34
95.00, 23.34
96.00, 23.34
97.00, 23.34
98.00, 23.34
99.00, 23.31
100.00, 23.34
101.00, 23.34
102.00, 23.34
103.00, 23.34
104.00, 23.31
105.00, 23.34
106.00, 23.31
107.00, 23.31
108.00, 23.31
109.00, 23.31
110.00, 23.31
111.00, 23.31
112.00, 23.31
113.00, 23.31
114.00, 23.31
115.00, 23.29
116.00, 23.31
117.00, 23.31
118.00, 23.31
119.00, 23.29
120.00, 23.31
121.00, 23.29
122.00, 23.29
123.00, 23.29
124.00, 23.29
125.00, 23.29
126.00, 23.29
127.00, 23.29
128.00, 23.29
129.00, 23.29
130.00, 23.29
131.00, 23.29
132.00, 23.29
133.00, 23.29
134.00, 23.29
135.00, 23.29
136.00, 23.29
137.00, 23.29
138.00, 23.29
139.00, 23.29
140.00, 23.29
141.00, 23.29
142.00, 23.27
143.00, 23.27
144.00, 23.29
145.00, 23.27
146.00, 23.29
147.00, 23.29
148.00, 23.29
149.00, 23.29
150.00, 23.29
151.00, 23.29
152.00, 23.29
153.00, 23.29
154.00, 23.27
155.00, 23.29
156.00, 23.29
157.00, 23.29
158.00, 23.29
159.00, 23.29
160.00, 23.29
161.00, 23.29
162.00, 23.29
163.00, 23.29
164.00, 23.31
165.00, 23.31
166.00, 23.31
167.00, 23.31
168.00, 23.31
169.00, 23.34
170.00, 23.34
171.00, 23.31
172.00, 23.31
173.00, 23.31
174.00, 23.34
175.00, 23.31
176.00, 23.34
177.00, 23.34
178.00, 23.34
179.00, 23.31
