0.006, 8.584
0.011, 4.348
0.017, 1.810
0.022, 1.284
0.028, 0.953
0.033, 0.420
0.039, 0.796
0.044, 0.416
0.050, 0.517
0.056, 0.544
0.061, 0.466
0.067, 0.386
0.072, 0.341
0.078, 0.379
0.083, 0.352
0.089, 0.248
0.094, 0.358
0.100, 0.214
0.106, 0.190
0.111, 0.251
0.117, 0.264
0.122, 0.133
0.128, 0.343
0.133, 0.171
0.139, 0.272
0.144, 0.168
0.150, 0.272
0.156, 0.284
0.161, 0.102
0.167, 0.243
0.172, 0.139
0.178, 0.328
0.183, 0.187
0.189, 0.195
0.194, 0.134
0.200, 0.160
0.206, 0.135
0.211, 0.102
0.217, 0.090
0.222, 0.139
0.228, 0.070
0.233, 0.065
0.239, 0.225
0.244, 0.202
0.250, 0.259
0.256, 0.129
0.261, 0.099
0.267, 0.246
0.272, 0.223
0.278, 0.201
0.283, 0.152
0.289, 0.122
0.294, 0.081
0.300, 0.201
0.306, 0.184
0.311, 0.182
0.317, 0.051
0.322, 0.137
0.328, 0.089
0.333, 0.186
0.339, 0.139
0.344, 0.116
0.350, 0.111
0.356, 0.180
0.361, 0.208
0.367, 0.159
0.372, 0.099
0.378, 0.072
0.383, 0.096
0.389, 0.210
0.394, 0.044
0.400, 0.207
0.406, 0.032
0.411, 0.216
0.417, 0.119
0.422, 0.108
0.428, 0.085
0.433, 0.170
0.439, 0.199
0.444, 0.114
0.450, 0.190
0.456, 0.112
0.461, 0.112
0.467, 0.301
0.472, 0.042
0.478, 0.163
0.483, 0.083
0.489, 0.200
0.494, 0.164
0.500, 0.254
0.506, 0.167
0.511, 0.196
0.517, 0.081
0.522, 0.165
0.528, 0.037
0.533, 0.298
0.539, 0.113
0.544, 0.109
0.550, 0.185
0.556, 0.118
0.561, 0.195
0.567, 0.170
0.572, 0.085
0.578, 0.118
0.583, 0.113
0.589, 0.216
0.594, 0.033
0.600, 0.207
0.606, 0.049
0.611, 0.209
0.617, 0.099
0.622, 0.083
0.628, 0.099
0.633, 0.161
0.639, 0.207
0.644, 0.181
0.650, 0.109
0.656, 0.119
0.661, 0.137
0.667, 0.183
0.672, 0.091
0.678, 0.139
0.683, 0.055
0.689, 0.181
0.694, 0.183
0.700, 0.201
0.706, 0.083
0.711, 0.134
0.717, 0.158
0.722, 0.203
0.728, 0.225
0.733, 0.249
0.739, 0.098
0.744, 0.128
0.750, 0.258
0.756, 0.201
0.761, 0.223
0.767, 0.065
0.772, 0.071
0.778, 0.138
0.783, 0.084
0.789, 0.101
0.794, 0.131
0.800, 0.162
0.806, 0.128
0.811, 0.191
0.817, 0.186
0.822, 0.328
0.828, 0.132
0.833, 0.238
0.839, 0.101
0.844, 0.290
0.850, 0.276
0.856, 0.178
0.861, 0.269
0.867, 0.170
0.872, 0.344
0.878, 0.138
0.883, 0.263
0.889, 0.254
0.894, 0.184
0.900, 0.213
0.906, 0.352
0.911, 0.256
0.917, 0.353
0.922, 0.374
0.928, 0.338
0.933, 0.392
0.939, 0.452
0.944, 0.536
0.950, 0.517
0.956, 0.424
0.961, 0.799
0.967, 0.418
0.972, 0.951
0.978, 1.285
0.983, 1.808
0.989, 4.350
0.994, 8.577
