0.00,24.23
1.00,24.23
2.00,24.23
3.00,24.23
4.00,24.23
5.00,24.23
6.00,24.21
7.00,24.21
8.00,24.21
9.00,24.21
10.00,24.21
11.00,24.21
12.00,24.21
13.00,24.21
14.00,24.21
15.00,24.19
16.00,24.19
17.00,24.19
18.00,24.19
19.00,24.19
20.00,24.19
21.00,24.19
22.00,24.19
23.00,24.19
24.00,24.19
25.00,24.16
26.00,24.16
27.00,24.16
28.00,24.21
29.00,24.55
30.00,24.46
31.00,24.44
32.00,24.44
33.00,24.46
34.00,24.48
35.00,24.51
36.00,24.53
37.00,24.55
38.00,24.58
39.00,24.60
40.00,24.62
41.00,24.64
42.00,24.67
43.00,24.69
44.00,24.71
45.00,24.71
46.00,24.74
47.00,24.76
48.00,24.78
49.00,24.81
50.00,24.94
51.00,24.87
52.00,24.90
53.00,24.90
54.00,24.90
55.00,24.90
56.00,24.87
57.00,24.87
58.00,24.85
59.00,24.85
60.00,24.83
61.00,24.81
62.00,24.81
63.00,24.78
64.00,24.78
65.00,24.78
66.00,24.78
67.00,24.76
68.00,24.76
69.00,24.76
70.00,24.74
71.00,24.74
72.00,24.74
73.00,24.74
74.00,24.74
75.00,24.71
76.00,24.71
77.00,24.69
78.00,24.69
79.00,24.69
80.00,24.69
81.00,24.69
82.00,24.67
83.00,24.67
84.00,24.67
85.00,24.64
86.00,24.64
87.00,24.62
88.00,24.62
89.00,24.62
90.00,24.62
91.00,24.62
92.00,24.60
93.00,24.60
94.00,24.60
95.00,24.60
96.00,24.60
97.00,24.58
98.00,24.58
99.00,24.58
100.00,24.58
101.00,24.58
102.00,24.58
103.00,24.55
104.00,24.55
105.00,24.55
106.00,24.53
107.00,24.53
108.00,24.58
109.00,24.62
110.00,24.85
111.00,25.01
112.00,25.15
113.00,25.24
114.00,25.24
115.00,25.29
116.00,25.31
117.00,25.31
118.00,25.31
119.00,25.29
120.00,25.26
121.00,25.24
122.00,25.20
123.00,25.15
124.00,25.13
125.00,25.08
126.00,25.06
127.00,25.03
128.00,25.01
129.00,24.97
130.00,24.97
131.00,24.92
132.00,24.90
133.00,24.87
134.00,24.85
135.00,24.83
136.00,24.81
137.00,24.78
138.00,24.76
139.00,24.74
140.00,24.71
141.00,24.71
142.00,24.69
143.00,24.67
144.00,24.64
145.00,24.64
146.00,24.62
147.00,24.60
148.00,24.60
149.00,24.58
150.00,24.55
151.00,24.55
152.00,24.53
153.00,24.53
154.00,24.48
155.00,24.48
156.00,24.48
157.00,24.48
158.00,24.46
159.00,24.60
160.00,24.83
161.00,24.85
162.00,24.90
163.00,25.03
164.00,25.29
165.00,25.31
166.00,25.38
167.00,25.45
168.00,25.47
169.00,25.47
170.00,25.49
171.00,25.49
172.00,25.49
173.00,25.52
174.00,25.54
175.00,25.52
176.00,25.54
177.00,25.56
178.00,25.54
179.00,25.52
